Channel Budget Digital,Channel Budget TV,Channel Budget Radio,Channel Budget Newspaper,sales,Spend Frequency,Start Date,End Date,Duration,ROI,Engagement Metrics,Target Audience Size,Demographics,Zip Code,Seasonality
93.45,62.3,12.6,18.3,9.7,Weekly,2023-04-02,2023-05-22,50,2.546130533,581,45090,45-54,95640,None
394.35,262.9,3.5,19.5,12,Monthly,2023-11-01,2023-12-09,38,0.561209468,698,41466,25-34,94404,None
214.35,142.9,29.3,12.6,15,Weekly,2023-03-24,2023-06-13,81,1.133004413,838,14835,18-24,92117,None
360.15,240.1,16.7,22.9,15.9,Monthly,2023-08-28,2023-10-16,49,1.428665344,810,27399,45-54,90034,Summer
373.2,248.8,27.1,22.9,18.9,Monthly,2023-10-31,2024-01-11,72,2.664995978,699,70801,55+,94130,Summer
105.9,70.6,16,40.8,10.5,Monthly,2023-01-25,2023-02-25,31,2.953931918,934,61145,35-44,95062,Winter
439.35,292.9,28.3,43.2,21.4,Daily,2023-10-15,2023-12-18,64,1.461190098,238,63550,45-54,92596,None
169.35,112.9,17.4,38.6,11.9,Daily,2023-10-16,2023-11-30,45,0.8917719499,918,27960,35-44,92021,Summer
145.8,97.2,1.5,30,9.6,Daily,2023-08-17,2023-09-30,44,2.230299626,731,66455,35-44,91403,Summer
398.4,265.6,20,0.3,17.4,Daily,2023-02-27,2023-05-02,64,1.021390304,290,98206,55+,92860,None
143.55,95.7,1.4,7.4,9.5,Weekly,2023-10-28,2024-01-07,71,2.684431268,802,54432,18-24,95686,Summer
436.05,290.7,4.1,8.5,12.8,Daily,2023-04-08,2023-07-05,88,1.475374647,653,54994,35-44,93532,Winter
400.35,266.9,43.8,5,25.4,Daily,2023-08-10,2023-10-19,70,0.5082650164,178,42986,45-54,90723,Holiday
112.05,74.7,49.4,45.7,14.7,Weekly,2023-01-20,2023-03-04,43,1.931137234,31,88081,55+,92675,Holiday
64.65,43.1,26.7,35.1,10.1,Daily,2023-05-12,2023-08-03,83,2.084636048,654,71283,55+,95228,Summer
342,228,37.7,32,21.5,Monthly,2023-09-13,2023-11-30,78,0.567098507,991,81391,18-24,91724,None
303.75,202.5,22.3,31.6,16.6,Monthly,2023-04-02,2023-05-06,34,2.183869496,908,61439,55+,95932,Holiday
265.5,177,33.4,38.7,17.1,Monthly,2023-04-03,2023-06-13,71,1.800126929,951,89845,18-24,90630,Winter
440.4,293.6,27.7,1.8,20.7,Weekly,2023-06-17,2023-09-11,86,1.572387944,203,22345,55+,95814,Holiday
310.35,206.9,8.4,26.4,12.9,Weekly,2023-10-11,2023-12-15,65,2.673924682,692,57007,35-44,93534,None
37.65,25.1,25.7,43.3,8.5,Monthly,2023-08-07,2023-10-02,56,0.8573256501,455,46675,55+,92867,None
262.65,175.1,22.5,31.5,14.9,Daily,2023-02-07,2023-03-31,52,2.611899706,117,62205,35-44,93926,Winter
134.55,89.7,9.9,35.7,10.6,Daily,2023-11-19,2024-01-11,53,2.846155775,286,58787,45-54,90045,Winter
359.85,239.9,41.5,18.5,23.2,Weekly,2023-03-13,2023-06-03,82,2.807438017,380,18157,25-34,92173,Summer
340.8,227.2,15.8,49.9,14.8,Weekly,2023-03-01,2023-05-07,67,0.6235070267,371,84454,35-44,94949,Holiday
100.35,66.9,11.7,36.8,9.7,Weekly,2023-07-10,2023-08-26,47,0.6009053359,944,58090,25-34,95020,Winter
299.7,199.8,3.1,34.6,11.4,Daily,2023-10-26,2024-01-14,80,0.9891005078,344,19215,25-34,91377,Winter
150.6,100.4,9.6,3.6,10.7,Monthly,2023-08-15,2023-09-30,46,0.9611967064,520,86824,55+,94080,Summer
324.6,216.4,41.7,39.6,22.6,Weekly,2023-10-22,2023-12-17,56,2.597378771,717,55548,35-44,95385,Holiday
273.9,182.6,46.2,58.7,21.2,Daily,2023-07-20,2023-09-22,64,1.093486738,441,63614,35-44,95117,None
394.05,262.7,28.8,15.9,20.2,Monthly,2023-07-09,2023-08-24,46,1.910530337,100,48113,55+,94089,None
298.35,198.9,49.4,60,23.7,Daily,2023-09-29,2023-11-22,54,1.039087516,685,98094,55+,92660,Holiday
10.95,7.3,28.1,41.4,5.5,Daily,2023-06-29,2023-08-10,42,1.649839731,139,11722,25-34,94133,Holiday
204.3,136.2,19.2,16.6,13.2,Daily,2023-10-22,2024-01-02,72,2.531633018,74,71857,45-54,94305,Winter
316.2,210.8,49.6,37.7,23.8,Weekly,2023-02-24,2023-03-31,35,2.593439736,772,98348,18-24,90041,None
316.05,210.7,29.5,9.3,18.4,Weekly,2023-01-23,2023-03-20,56,1.953967766,520,50540,25-34,95380,None
80.25,53.5,2,21.4,8.1,Daily,2023-11-11,2024-01-04,54,0.6130544039,844,68902,18-24,90210,Summer
391.95,261.3,42.7,54.7,24.2,Monthly,2023-07-04,2023-09-08,66,2.6380257,935,49780,18-24,92503,Summer
358.95,239.3,15.5,27.3,15.7,Daily,2023-09-21,2023-10-22,31,0.7301127957,114,86203,25-34,90720,None
154.05,102.7,29.6,8.4,14,Daily,2023-08-26,2023-11-10,76,2.827189379,908,70002,25-34,93710,None
196.65,131.1,42.8,28.9,18,Monthly,2023-04-22,2023-06-19,58,1.095586435,891,42151,25-34,92025,Summer
103.5,69,9.3,0.9,9.3,Monthly,2023-01-04,2023-02-28,55,1.851180881,327,70153,45-54,90247,None
47.25,31.5,24.6,2.2,9.5,Weekly,2023-03-07,2023-05-29,83,0.6249591775,363,21601,25-34,92024,None
208.95,139.3,14.5,10.2,13.4,Daily,2023-02-18,2023-05-12,83,2.580199904,983,77105,35-44,95829,None
356.1,237.4,27.5,11,18.9,Daily,2023-05-02,2023-07-04,63,1.412560034,634,42779,55+,93665,Summer
325.2,216.8,43.9,27.2,22.3,Weekly,2023-01-20,2023-03-21,60,1.031438892,196,53508,18-24,95555,Holiday
298.65,199.1,30.6,38.7,18.3,Daily,2023-11-29,2024-01-13,45,1.513076852,548,15030,45-54,95118,Winter
164.7,109.8,14.3,31.7,12.4,Monthly,2023-10-25,2023-12-16,52,2.269617753,719,82029,45-54,91732,Holiday
40.2,26.8,33,19.3,8.8,Monthly,2023-08-12,2023-10-23,72,1.820744793,204,41350,45-54,93962,Summer
194.1,129.4,5.7,31.3,11,Weekly,2023-05-18,2023-07-01,44,2.571527123,172,47024,25-34,90212,Winter
320.1,213.4,24.6,13.1,17,Monthly,2023-04-17,2023-06-17,61,2.37636532,374,87284,18-24,90631,Holiday
25.35,16.9,43.7,89.4,8.7,Daily,2023-10-27,2024-01-17,82,2.592976171,100,50327,25-34,93277,Holiday
41.25,27.5,1.6,20.7,6.9,Monthly,2023-10-19,2023-12-05,47,2.468612732,628,53592,55+,94114,Holiday
180.75,120.5,28.5,14.2,14.2,Monthly,2023-10-18,2024-01-08,82,1.609279047,619,15081,18-24,90602,None
8.1,5.4,29.9,9.4,5.3,Daily,2023-09-12,2023-10-16,34,1.482732372,624,51301,25-34,90822,Winter
174,116,7.7,23.1,11,Monthly,2023-03-27,2023-04-29,33,1.46606173,934,50360,45-54,95215,Holiday
114.6,76.4,26.7,22.3,11.8,Monthly,2023-04-26,2023-06-30,65,2.812159363,923,77635,18-24,92332,None
359.7,239.8,4.1,36.9,12.3,Daily,2023-05-19,2023-07-15,57,1.342803033,642,85196,55+,95030,Winter
112.95,75.3,20.3,32.5,11.3,Weekly,2023-01-28,2023-04-26,88,1.687548032,908,92331,35-44,95949,Winter
102.6,68.4,44.5,35.6,13.6,Weekly,2023-03-21,2023-05-12,52,2.255631374,153,48142,45-54,92117,Summer
320.25,213.5,43,33.8,21.7,Monthly,2023-06-26,2023-08-18,53,0.7109312686,590,98631,45-54,93291,Holiday
289.8,193.2,18.4,65.7,15.2,Weekly,2023-08-21,2023-11-06,77,2.52559627,733,94719,55+,95112,Winter
114.45,76.3,27.5,16,12,Daily,2023-01-04,2023-02-20,47,0.7923980436,55,13734,25-34,93722,Winter
166.05,110.7,40.6,63.2,16,Daily,2023-10-14,2023-12-14,61,2.896615534,793,79811,55+,92117,Winter
132.45,88.3,25.5,73.4,12.9,Monthly,2023-02-03,2023-05-02,88,2.925234181,518,93799,45-54,95369,Summer
164.7,109.8,47.8,51.4,16.7,Monthly,2023-05-20,2023-07-20,61,1.042680545,846,17472,45-54,91316,Holiday
201.45,134.3,4.9,9.3,11.2,Weekly,2023-09-01,2023-11-03,63,2.905631069,464,29328,35-44,90706,Holiday
42.9,28.6,1.5,33,7.3,Weekly,2023-03-09,2023-05-01,53,0.7756790253,876,49245,25-34,95370,Summer
326.55,217.7,33.5,59,19.4,Daily,2023-12-18,2024-03-08,81,1.304443808,386,22707,45-54,92346,Winter
376.35,250.9,36.5,72.3,22.2,Daily,2023-03-03,2023-04-12,40,2.484555806,144,61225,55+,94949,Summer
161.1,107.4,14,10.9,11.5,Daily,2023-06-30,2023-08-17,48,0.5482193987,518,17436,35-44,92592,Holiday
244.95,163.3,31.6,52.9,16.9,Monthly,2023-02-09,2023-03-23,42,1.009115317,60,94936,25-34,90071,Holiday
296.4,197.6,3.5,5.9,11.7,Weekly,2023-08-21,2023-11-08,79,0.5209003357,775,77383,55+,90805,None
277.35,184.9,21,22,15.5,Weekly,2023-03-20,2023-04-25,36,2.324630697,473,48268,35-44,92027,Holiday
434.55,289.7,42.3,51.2,25.4,Monthly,2023-07-05,2023-09-27,84,2.718386096,326,94502,18-24,96113,Summer
202.8,135.2,41.7,45.9,17.2,Daily,2023-11-05,2023-12-23,48,0.6277533154,136,47830,35-44,94954,Summer
333.6,222.4,4.3,49.8,11.7,Weekly,2023-01-08,2023-02-15,38,2.225526594,9,94947,35-44,93501,Holiday
444.6,296.4,36.3,100.9,23.8,Daily,2023-09-09,2023-12-03,85,2.124799409,727,48198,55+,96014,Holiday
420.3,280.2,10.1,21.4,14.8,Weekly,2023-08-06,2023-11-02,88,2.081280585,53,41357,35-44,94922,Winter
281.85,187.9,17.2,17.9,14.7,Daily,2023-05-03,2023-06-06,34,2.747689893,238,90604,18-24,95316,Holiday
357.3,238.2,34.3,5.3,20.7,Daily,2023-06-01,2023-07-15,44,2.183377327,917,69442,25-34,92397,Winter
206.85,137.9,46.4,59,19.2,Monthly,2023-04-07,2023-06-02,56,0.9998698971,667,93491,25-34,93940,Winter
37.5,25,11,29.7,7.2,Monthly,2023-10-07,2023-11-07,31,2.737351235,285,36514,35-44,94301,Summer
135.6,90.4,0.3,23.2,8.7,Monthly,2023-03-04,2023-04-04,31,1.75165949,169,34040,25-34,95327,None
19.65,13.1,0.4,25.6,5.3,Daily,2023-02-12,2023-04-01,48,1.533881148,792,71570,55+,95008,Summer
383.1,255.4,26.9,5.5,19.8,Weekly,2023-10-12,2023-12-20,69,1.807336784,928,98270,45-54,95511,None
338.7,225.8,8.2,56.5,13.4,Daily,2023-07-22,2023-09-27,67,2.957422957,780,82251,45-54,92843,None
362.55,241.7,38,23.2,21.8,Daily,2023-12-31,2024-02-05,36,2.732041796,589,94681,55+,96069,Holiday
263.55,175.7,15.4,2.4,14.1,Monthly,2023-11-03,2024-01-07,65,2.3900816,239,34393,55+,95653,Winter
314.4,209.6,20.6,10.7,15.9,Monthly,2023-05-08,2023-06-24,47,1.963292581,410,90832,55+,91406,Winter
117.3,78.2,46.8,34.5,14.6,Weekly,2023-12-04,2024-01-28,55,0.6342580095,787,22811,45-54,92026,Summer
112.65,75.1,35,52.7,12.6,Daily,2023-01-28,2023-03-25,56,2.611934686,70,99241,45-54,96104,Holiday
208.8,139.2,14.3,25.6,12.2,Monthly,2023-11-27,2024-02-22,87,0.97349233,393,97885,55+,90717,Holiday
114.6,76.4,0.8,14.8,9.4,Weekly,2023-03-28,2023-05-21,54,2.465346926,895,80462,25-34,95451,Summer
188.55,125.7,36.9,79.2,15.9,Weekly,2023-07-10,2023-09-26,78,1.477695312,603,19722,55+,95662,Holiday
29.1,19.4,16,22.3,6.6,Daily,2023-08-09,2023-10-27,79,0.9565665626,293,79627,35-44,95364,Summer
211.95,141.3,26.8,46.2,15.5,Monthly,2023-11-10,2024-01-22,73,1.741281247,574,77914,45-54,92672,None
28.2,18.8,21.7,50.4,7,Monthly,2023-09-21,2023-12-02,72,1.213700635,519,58574,45-54,95903,Winter
336,224,2.4,15.6,11.6,Weekly,2023-10-23,2024-01-01,70,1.237105432,431,80646,18-24,95835,Holiday
184.65,123.1,34.6,12.4,15.2,Daily,2023-01-16,2023-04-13,87,0.8619689733,901,94710,45-54,95947,Summer
344.25,229.5,32.3,74.2,19.7,Daily,2023-06-15,2023-08-04,50,2.959855504,859,20368,55+,95437,Summer
130.8,87.2,11.8,25.9,10.6,Weekly,2023-12-10,2024-02-23,75,2.783411833,879,42903,25-34,94954,Winter
11.7,7.8,38.9,50.6,6.6,Daily,2023-07-14,2023-08-27,44,0.6953163149,817,70859,18-24,92254,None
120.3,80.2,0,9.2,8.8,Daily,2023-05-20,2023-07-25,66,0.7366799759,643,31172,25-34,90504,Winter
330.45,220.3,49,3.2,24.7,Monthly,2023-06-22,2023-07-23,31,1.218895155,158,93652,55+,92394,Winter
89.4,59.6,12,43.1,9.7,Daily,2023-12-28,2024-02-21,55,1.801762004,766,98699,35-44,92064,None
1.05,0.7,39.6,8.7,1.6,Weekly,2023-01-26,2023-04-15,79,1.111468194,920,12549,25-34,95041,None
397.8,265.2,2.9,43,12.7,Weekly,2023-09-13,2023-10-30,47,0.7239805851,492,57703,45-54,93109,Holiday
12.6,8.4,27.2,2.1,5.7,Daily,2023-09-08,2023-12-02,85,1.883211933,803,82615,18-24,95983,Holiday
329.7,219.8,33.5,45.1,19.6,Daily,2023-10-14,2023-11-17,34,1.82499061,692,52685,55+,95550,Holiday
55.35,36.9,38.6,65.6,10.8,Weekly,2023-11-23,2024-01-31,69,1.008393505,219,98651,55+,91962,Holiday
72.45,48.3,47,8.5,11.6,Daily,2023-12-02,2024-02-12,72,0.7400759621,176,85191,18-24,95401,Holiday
38.4,25.6,39,9.3,9.5,Monthly,2023-05-20,2023-07-20,61,2.079520989,185,80655,35-44,94021,Summer
410.55,273.7,28.9,59.7,20.8,Daily,2023-11-10,2024-01-13,64,1.233796238,657,47651,45-54,95914,Winter
64.5,43,25.9,20.5,9.6,Weekly,2023-08-06,2023-10-15,70,2.117917224,741,35374,55+,95637,Summer
277.35,184.9,43.9,1.7,20.7,Daily,2023-02-25,2023-05-03,67,2.519967707,146,31044,35-44,92508,Summer
110.1,73.4,17,12.9,10.9,Daily,2023-04-03,2023-05-28,55,2.914330564,204,34327,18-24,95742,Summer
290.55,193.7,35.4,75.6,19.2,Daily,2023-01-08,2023-03-03,54,2.463207988,583,30042,35-44,93666,Summer
330.75,220.5,33.2,37.9,20.1,Daily,2023-12-28,2024-02-26,60,1.563290177,224,38165,55+,92310,None
156.9,104.6,5.7,34.4,10.4,Daily,2023-02-25,2023-03-29,32,2.429487526,566,26106,55+,91941,Summer
144.3,96.2,14.8,38.9,11.4,Daily,2023-07-13,2023-08-18,36,1.133938816,501,38352,25-34,95923,Holiday
210.45,140.3,1.9,9,10.3,Weekly,2023-11-17,2024-01-05,49,2.75104053,882,57166,25-34,92060,Winter
360.15,240.1,7.3,8.7,13.2,Monthly,2023-03-08,2023-05-03,56,2.459622113,164,86389,55+,92091,None
364.8,243.2,49,44.3,25.4,Monthly,2023-06-30,2023-08-23,54,1.468433576,231,40702,45-54,95116,Summer
57,38,40.3,11.9,10.9,Monthly,2023-03-02,2023-04-14,43,0.5727199601,333,82163,25-34,90290,Summer
67.05,44.7,25.8,20.6,10.1,Monthly,2023-01-15,2023-03-28,72,0.5325117215,952,54070,35-44,95607,None
421.05,280.7,13.9,37,16.1,Daily,2023-01-10,2023-03-28,77,1.384201305,717,97164,45-54,93033,Winter
181.5,121,8.4,48.7,11.6,Daily,2023-09-14,2023-10-20,36,2.544069486,635,66593,45-54,90680,Winter
296.4,197.6,23.3,14.2,16.6,Daily,2023-01-12,2023-03-04,51,1.889758162,727,73040,55+,95818,Holiday
256.95,171.3,39.7,37.7,19,Monthly,2023-09-15,2023-10-16,31,1.500554673,452,39213,55+,95219,None
281.7,187.8,21.1,9.5,15.6,Monthly,2023-03-14,2023-04-22,39,1.034820671,730,72046,18-24,95018,None
6.15,4.1,11.6,5.7,3.2,Weekly,2023-10-07,2023-12-28,82,1.254523484,199,15718,45-54,96052,Summer
140.85,93.9,43.5,50.5,15.3,Weekly,2023-07-11,2023-09-12,63,0.61971285,761,56602,25-34,91352,None
224.7,149.8,1.3,24.3,10.1,Daily,2023-01-22,2023-03-11,48,2.106247603,136,77397,18-24,92539,Holiday
17.55,11.7,36.9,45.2,7.3,Weekly,2023-09-19,2023-12-13,85,2.846324347,661,73390,45-54,90201,None
197.55,131.7,18.4,34.6,12.9,Daily,2023-10-05,2023-12-05,61,1.156007368,535,52419,55+,95942,None
258.75,172.5,18.1,30.7,14.4,Daily,2023-10-05,2023-12-06,62,0.5296583135,489,98920,18-24,91935,Holiday
128.55,85.7,35.8,49.3,13.3,Monthly,2023-04-14,2023-06-16,63,1.014319041,43,55583,25-34,91702,Holiday
282.6,188.4,18.1,25.6,14.9,Monthly,2023-03-19,2023-06-02,75,1.50345692,788,13589,25-34,92028,Holiday
245.25,163.5,36.8,7.4,18,Monthly,2023-12-05,2024-01-28,54,2.432083374,901,58155,55+,92122,Winter
175.8,117.2,14.7,5.4,11.9,Daily,2023-08-22,2023-09-30,39,0.5083556123,721,85459,55+,96065,Winter
351.75,234.5,3.4,84.8,11.9,Weekly,2023-10-30,2024-01-21,83,2.503326831,322,67075,45-54,95242,Winter
26.85,17.9,37.6,21.6,8,Weekly,2023-11-26,2024-01-18,53,1.894464278,856,19494,18-24,95585,Summer
310.2,206.8,5.2,19.4,12.2,Weekly,2023-02-28,2023-04-24,55,2.809382217,274,88738,25-34,95975,Holiday
323.1,215.4,23.6,57.6,17.1,Weekly,2023-01-12,2023-02-18,37,2.052267155,634,47412,45-54,94952,Summer
426.45,284.3,10.6,6.4,15,Daily,2023-05-21,2023-07-02,42,0.9363202411,993,86843,18-24,95325,None
75,50,11.6,18.4,8.4,Daily,2023-09-05,2023-10-25,50,0.9362839156,30,26921,18-24,95620,Winter
246.75,164.5,20.9,47.4,14.5,Monthly,2023-10-27,2023-12-01,35,1.736998263,963,56919,18-24,96029,Winter
29.4,19.6,20.1,17,7.6,Weekly,2023-10-02,2023-11-04,33,0.5179259893,123,67823,35-44,92274,Winter
252.6,168.4,7.1,12.8,11.7,Monthly,2023-01-11,2023-03-14,62,1.363281021,851,70589,35-44,94549,Holiday
333.6,222.4,3.4,13.1,11.5,Weekly,2023-05-24,2023-08-16,84,1.206378313,828,12295,18-24,90210,None
415.35,276.9,48.9,41.8,27,Daily,2023-11-20,2024-01-12,53,1.191928311,113,80125,18-24,94588,Holiday
372.6,248.4,30.2,20.3,20.2,Weekly,2023-09-08,2023-10-26,48,1.39998827,60,15622,55+,96096,Winter
255.3,170.2,7.8,35.2,11.7,Weekly,2023-06-25,2023-08-07,43,1.972487683,603,31345,25-34,94502,Winter
415.05,276.7,2.3,23.7,11.8,Daily,2023-10-14,2023-12-25,72,1.883984971,237,53877,35-44,95638,None
248.4,165.6,10,17.6,12.6,Daily,2023-12-06,2024-02-08,64,2.474450121,930,47204,18-24,95446,Holiday
234.9,156.6,2.6,8.3,10.5,Monthly,2023-08-10,2023-11-02,84,2.493910971,657,52463,25-34,91932,None
327.75,218.5,5.4,27.4,12.2,Daily,2023-06-24,2023-09-15,83,1.532503952,371,96836,45-54,92117,None
84.3,56.2,5.7,29.7,8.7,Daily,2023-05-31,2023-08-28,89,2.670130084,57,53707,25-34,94510,Holiday
431.4,287.6,43,71.8,26.2,Weekly,2023-07-08,2023-08-20,43,2.949598752,899,74158,18-24,93606,None
380.7,253.8,21.3,30,17.6,Monthly,2023-07-13,2023-09-24,73,2.454316597,860,39650,55+,90049,None
307.5,205,45.1,19.6,22.6,Monthly,2023-07-04,2023-09-13,71,0.7253029686,809,84818,18-24,94112,None
209.25,139.5,2.1,26.6,10.3,Daily,2023-09-14,2023-11-23,70,0.5298605111,419,32696,55+,96007,Summer
286.65,191.1,28.7,18.2,17.3,Monthly,2023-09-19,2023-10-26,37,1.263657409,646,22911,18-24,96020,None
429,286,13.9,3.7,15.9,Monthly,2023-10-14,2023-12-04,51,1.371988232,370,36538,25-34,95324,Summer
28.05,18.7,12.1,23.4,6.7,Monthly,2023-01-03,2023-03-19,75,0.6211695292,944,96157,45-54,93648,Winter
59.25,39.5,41.1,5.8,10.8,Daily,2023-02-11,2023-03-15,32,1.533843043,428,94418,18-24,95133,Holiday
113.25,75.5,10.8,6,9.9,Daily,2023-02-14,2023-05-03,78,1.638096018,257,60276,35-44,92273,Winter
25.8,17.2,4.1,31.6,5.9,Monthly,2023-10-11,2023-11-16,36,2.225114557,358,15327,25-34,92503,Winter
250.2,166.8,42,3.6,19.6,Weekly,2023-11-15,2024-01-25,71,1.544383628,233,85487,25-34,95946,Winter
224.55,149.7,35.6,6,17.3,Weekly,2023-08-30,2023-10-07,38,2.770180842,211,10443,18-24,95148,Holiday
57.3,38.2,3.7,13.8,7.6,Daily,2023-02-09,2023-03-14,33,1.596355705,317,50509,25-34,93304,Winter
141.3,94.2,4.9,8.1,9.7,Monthly,2023-07-28,2023-09-25,59,2.995019312,158,48030,25-34,95983,None
265.5,177,9.3,6.4,12.8,Daily,2023-08-30,2023-11-14,76,1.225476671,222,47820,25-34,96027,Summer
425.4,283.6,42,66.2,25.5,Weekly,2023-03-05,2023-05-01,57,2.476598551,900,20863,25-34,95988,Winter
348.15,232.1,8.6,8.7,13.4,Weekly,2023-12-30,2024-03-17,78,1.425040969,189,18559,25-34,95655,None
345.15,230.1,37.8,69.2,22.1,Monthly,2023-06-09,2023-08-04,56,1.323615857,471,98051,45-54,94930,Winter
66.75,44.5,39.3,45.1,10.4,Monthly,2023-05-21,2023-07-06,46,2.192386973,702,33094,18-24,95547,None
25.8,17.2,45.9,69.3,9.3,Weekly,2023-04-15,2023-07-08,84,2.719386098,216,41121,45-54,95444,None
227.25,151.5,41.3,58.5,18.5,Weekly,2023-02-09,2023-04-07,57,0.806873498,898,81767,35-44,93263,None
271.2,180.8,10.8,58.4,12.9,Weekly,2023-07-18,2023-10-07,81,2.860678206,439,61136,25-34,92028,Winter
13.05,8.7,48.9,75,7.2,Monthly,2023-01-15,2023-04-03,78,2.280905614,493,40585,35-44,90601,Holiday
86.25,57.5,32.8,23.5,11.8,Monthly,2023-12-16,2024-02-24,70,2.263061793,516,44071,18-24,93452,Winter
180.3,120.2,19.6,11.6,13.2,Monthly,2023-03-18,2023-04-23,36,2.862618511,254,60099,18-24,94552,Holiday
12.9,8.6,2.1,1,4.8,Weekly,2023-10-21,2023-12-18,58,2.43699764,469,49389,35-44,95961,Holiday
299.7,199.8,2.6,21.2,10.6,Weekly,2023-11-04,2023-12-06,32,2.543819102,986,28322,55+,92066,Holiday
99.15,66.1,5.8,24.2,8.6,Daily,2023-09-09,2023-10-27,48,2.974651599,658,41692,55+,93621,None
322.05,214.7,24,4,17.4,Daily,2023-08-17,2023-10-29,73,1.257852143,449,82792,45-54,95427,None
35.7,23.8,35.1,65.9,9.2,Weekly,2023-02-21,2023-05-13,81,2.414147191,756,15276,25-34,92084,None
146.25,97.5,7.6,7.2,9.7,Daily,2023-07-06,2023-09-16,72,2.902351855,90,73180,55+,95073,Winter
306.15,204.1,32.9,46,19,Weekly,2023-07-07,2023-09-22,77,1.693018901,642,27410,45-54,96019,Holiday
293.1,195.4,47.7,52.9,22.4,Monthly,2023-02-23,2023-05-03,69,0.6885513864,427,77807,45-54,91343,Winter
101.7,67.8,36.6,114,12.5,Monthly,2023-06-27,2023-08-04,38,0.7103286142,894,71184,25-34,95670,Winter
422.1,281.4,39.6,55.8,24.4,Weekly,2023-04-29,2023-07-13,75,2.709514473,93,48047,35-44,93280,Holiday
103.8,69.2,20.5,18.3,11.3,Monthly,2023-02-03,2023-04-23,79,1.419444451,999,60895,55+,92840,Winter
220.95,147.3,23.9,19.1,14.6,Daily,2023-10-26,2024-01-12,78,1.752568729,723,63119,45-54,91103,None
327.6,218.4,27.7,53.4,18,Weekly,2023-09-25,2023-11-14,50,2.643573227,110,96257,35-44,96069,Holiday
356.1,237.4,5.1,23.5,12.5,Monthly,2023-10-24,2023-12-21,58,2.025653803,949,22994,45-54,95228,None
19.8,13.2,15.9,49.6,5.6,Monthly,2023-01-28,2023-04-05,67,2.905708274,650,26261,25-34,92618,Holiday
342.45,228.3,16.9,26.2,15.5,Daily,2023-11-21,2023-12-22,31,0.7235248192,215,21332,18-24,91602,Holiday
93.45,62.3,12.6,18.3,9.7,Weekly,2023-04-17,2023-06-07,51,2.509003842,181,77630,55+,90270,Winter
394.35,262.9,3.5,19.5,12,Weekly,2023-12-06,2024-02-15,71,0.8214889671,825,25748,35-44,91321,Holiday
214.35,142.9,29.3,12.6,15,Weekly,2023-11-28,2024-01-29,62,2.827312838,774,80807,25-34,95247,Holiday
360.15,240.1,16.7,22.9,15.9,Weekly,2023-04-20,2023-06-10,51,0.667978344,635,35816,25-34,92673,Summer
373.2,248.8,27.1,22.9,18.9,Weekly,2023-08-18,2023-10-03,46,2.747953445,591,43969,35-44,92122,Winter
105.9,70.6,16,40.8,10.5,Daily,2023-01-24,2023-03-27,62,2.785211671,346,30142,18-24,95536,Winter
439.35,292.9,28.3,43.2,21.4,Monthly,2023-03-24,2023-05-25,62,1.622208143,550,75129,25-34,95521,Holiday
169.35,112.9,17.4,38.6,11.9,Daily,2023-06-22,2023-08-02,41,1.743167559,390,43086,45-54,92592,Summer
145.8,97.2,1.5,30,9.6,Weekly,2023-12-01,2024-01-07,37,2.373913781,175,15555,18-24,94960,Summer
398.4,265.6,20,0.3,17.4,Monthly,2023-11-24,2024-01-13,50,1.708883081,198,56855,45-54,95307,Summer
143.55,95.7,1.4,7.4,9.5,Weekly,2023-12-20,2024-02-06,48,1.090102051,532,91481,35-44,95758,Holiday
436.05,290.7,4.1,8.5,12.8,Weekly,2023-09-03,2023-11-24,82,1.310218024,853,36025,18-24,95693,Holiday
400.35,266.9,43.8,5,25.4,Monthly,2023-10-08,2023-11-17,40,2.316506482,606,60820,55+,96024,Winter
112.05,74.7,49.4,45.7,14.7,Daily,2023-06-29,2023-08-06,38,1.635312175,351,54513,25-34,92282,Summer
64.65,43.1,26.7,35.1,10.1,Daily,2023-10-04,2023-11-19,46,1.278562121,953,11850,35-44,95977,Summer
342,228,37.7,32,21.5,Monthly,2023-03-16,2023-04-29,44,1.875576038,541,94280,35-44,93614,Winter
303.75,202.5,22.3,31.6,16.6,Monthly,2023-04-27,2023-06-06,40,1.952353661,755,48936,18-24,91702,Summer
265.5,177,33.4,38.7,17.1,Daily,2023-03-23,2023-05-20,58,2.594733625,847,19748,18-24,95348,None
440.4,293.6,27.7,1.8,20.7,Weekly,2023-10-23,2023-11-26,34,2.783582726,167,92795,25-34,92536,Summer
310.35,206.9,8.4,26.4,12.9,Monthly,2023-08-08,2023-09-19,42,0.6808097014,412,22591,25-34,93501,Summer
37.65,25.1,25.7,43.3,8.5,Monthly,2023-10-05,2023-11-25,51,2.641889353,363,85586,35-44,94060,Summer
262.65,175.1,22.5,31.5,14.9,Daily,2023-01-09,2023-02-18,40,1.163100064,881,52357,25-34,95002,Summer
134.55,89.7,9.9,35.7,10.6,Daily,2023-11-04,2024-01-03,60,2.780375662,339,71950,25-34,92264,Winter
359.85,239.9,41.5,18.5,23.2,Daily,2023-01-28,2023-04-27,89,2.121315729,788,85912,45-54,91739,None
340.8,227.2,15.8,49.9,14.8,Weekly,2023-01-01,2023-02-26,56,0.5755619363,39,57011,18-24,93955,Winter
